make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,price
hyundai,2021,1400,88230,4,flex,automatico,hatch,rj,91915.37
honda,2021,1400,80181,4,flex,manual,hatch,pr,87781.97
chevrolet,2025,1400,35897,4,flex,automatico,sedan,sp,120099.99
bmw,2024,1600,16331,4,flex,manual,picape,pe,142374.72
ford,2023,1000,21155,4,flex,manual,hatch,sp,94661.78
chevrolet,2023,1400,34113,4,flex,manual,picape,sp,103382.56
hyundai,2024,3000,24835,4,flex,automatico,suv,ba,136850.93
chevrolet,2023,1400,52412,4,flex,automatico,suv,pe,103471.44
toyota,2012,1600,142613,2,gasolina,automatico,suv,mg,36872.11
toyota,2021,1400,82943,4,gasolina,manual,suv,pr,82821.97
toyota,2016,1600,117629,4,flex,manual,hatch,pe,61673.28
volkswagen,2013,1600,149596,4,flex,manual,sedan,sp,49287.68
toyota,2025,1400,0,4,gasolina,automatico,suv,pe,116310.21
ford,2018,3000,71177,4,hibrido,automatico,sedan,mg,97190.59
chevrolet,2012,1000,180347,4,flex,automatico,suv,rs,30000.93
ford,2014,1000,145099,4,flex,manual,hatch,rj,45014.18
bmw,2012,1600,148650,4,flex,automatico,suv,pr,78727.79
toyota,2016,2000,100573,4,flex,manual,sedan,pr,61377.42
hyundai,2014,1000,138963,4,flex,automatico,sedan,ba,49949.03
volkswagen,2018,1000,121035,4,flex,manual,sedan,rs,57821.56
bmw,2016,1000,116106,2,gasolina,automatico,suv,pr,88462.16
hyundai,2011,1000,157452,2,flex,manual,suv,ba,18418.33
volkswagen,2013,1600,152313,4,flex,automatico,sedan,ba,56523.26
bmw,2018,1400,91909,4,flex,automatico,suv,ba,113934.7
chevrolet,2021,1400,19546,4,flex,automatico,sedan,pr,101906.9
ford,2023,1400,35185,4,flex,automatico,hatch,pr,106772.78
honda,2011,1000,176535,4,flex,automatico,hatch,pr,29480.49
ford,2019,1000,94443,4,diesel,automatico,hatch,mg,77734.73
toyota,2018,1600,123734,2,flex,automatico,sedan,ba,76100.74
hyundai,2019,3000,100898,4,gasolina,manual,sedan,mg,91939.53
honda,2014,2000,139966,4,eletrico,automatico,suv,rj,63349.09
volkswagen,2011,1000,163402,4,flex,automatico,suv,pr,30105.22
chevrolet,2013,2000,194600,4,flex,manual,hatch,pe,33420.31
chevrolet,2021,1600,60888,4,flex,automatico,hatch,rs,94504.69
volkswagen,2024,1600,24208,4,diesel,manual,hatch,sp,98673.71
toyota,2021,1400,59638,4,eletrico,manual,sedan,rj,97488.39
volkswagen,2016,1400,122971,4,gasolina,manual,hatch,pe,59668.12
bmw,2021,1400,57834,4,flex,manual,hatch,sp,118474.55
hyundai,2022,1000,39395,4,gasolina,automatico,picape,sp,96681.53
hyundai,2017,1000,99797,4,flex,automatico,suv,pr,63346.07
toyota,2024,1000,23508,4,flex,automatico,hatch,rs,117186.54
honda,2012,1400,159848,4,flex,automatico,sedan,sp,32723.41
volkswagen,2023,1600,25307,4,flex,manual,sedan,ba,104476.33
toyota,2010,1400,193596,4,gasolina,automatico,suv,pe,25217.96
hyundai,2013,1000,152175,4,flex,automatico,sedan,sp,44807.94
honda,2011,3000,202559,4,flex,automatico,hatch,rj,47596.1
volkswagen,2017,2000,68235,2,flex,automatico,suv,rs,74473.71
chevrolet,2013,1600,172372,4,diesel,automatico,sedan,rs,43588.61
volkswagen,2011,3000,198691,2,gasolina,automatico,hatch,sp,43835.54
ford,2023,1400,4899,4,flex,automatico,sedan,rs,112963.05
volkswagen,2015,3000,126859,4,flex,manual,sedan,rj,76642.04
ford,2015,1000,126428,4,flex,manual,sedan,pe,36838.67
honda,2019,1400,62887,4,eletrico,automatico,hatch,rj,81865.84
volkswagen,2013,1000,144332,4,flex,automatico,sedan,rj,39086.74
honda,2015,1000,115341,4,flex,automatico,hatch,ba,53290.69
honda,2022,1000,74284,4,flex,automatico,suv,pr,96558.03
hyundai,2024,1600,38035,4,flex,manual,hatch,sp,105627.03
toyota,2011,1600,199073,4,diesel,manual,hatch,pe,25918.06
honda,2019,1600,94825,4,flex,automatico,suv,rs,80347.38
honda,2021,1000,43064,4,flex,automatico,suv,rj,94190.02
hyundai,2011,2000,172132,4,flex,manual,suv,sp,36569.19
hyundai,2019,1600,91340,4,flex,automatico,sedan,pe,80337.5
volkswagen,2023,1400,17668,4,eletrico,automatico,hatch,pe,114556.59
hyundai,2013,1600,166694,2,flex,automatico,suv,sp,45957.76
volkswagen,2023,1000,32395,4,diesel,automatico,suv,pr,108868.05
chevrolet,2024,1400,18377,4,gasolina,manual,hatch,ba,106036.35
hyundai,2025,2000,22664,4,flex,automatico,picape,rs,128006.62
toyota,2024,1000,30663,4,flex,automatico,hatch,ba,108197.52
honda,2017,1400,102585,4,flex,automatico,picape,pe,70431.19
toyota,2023,2000,53389,4,gasolina,manual,suv,rs,105786.3
ford,2016,1600,103784,4,flex,automatico,suv,pe,71316.44
hyundai,2021,1000,69239,4,flex,manual,picape,rj,74866.33
honda,2018,1000,104896,4,flex,manual,suv,rj,69433.77
toyota,2023,1000,31356,4,gasolina,automatico,hatch,sp,94498.28
hyundai,2017,1600,112891,4,flex,manual,sedan,rs,60342.29
hyundai,2014,1400,125233,4,flex,automatico,hatch,rs,53543.7
chevrolet,2025,1000,25860,4,flex,manual,sedan,pe,107682.78
chevrolet,2022,3000,45226,4,flex,automatico,suv,ba,129096.96
honda,2011,1400,172159,4,diesel,manual,sedan,rj,16184.69
ford,2024,1000,39735,2,flex,manual,sedan,mg,96501.28
chevrolet,2014,1400,133434,4,diesel,manual,sedan,sp,34150.73
chevrolet,2017,1600,86873,4,gasolina,automatico,suv,rs,75827.16
ford,2019,1000,60650,4,flex,automatico,hatch,pr,82760.92
toyota,2018,1000,105090,4,gasolina,manual,sedan,pr,70190.48
chevrolet,2021,2000,40793,4,flex,automatico,hatch,mg,105984.22
volkswagen,2021,1400,86321,4,flex,automatico,suv,rj,96571.98
bmw,2021,1400,28771,4,gasolina,automatico,hatch,rj,137903.54
bmw,2022,1400,73446,4,flex,manual,suv,rj,122606.86
chevrolet,2018,1000,99165,4,gasolina,automatico,hatch,ba,64080.45
toyota,2022,1000,46549,4,flex,manual,hatch,pe,90392.66
hyundai,2024,1400,15826,4,eletrico,manual,picape,pr,99965.59
toyota,2022,1000,53987,4,flex,automatico,hatch,rj,102377.99
honda,2010,1000,191435,4,flex,automatico,sedan,pr,20474.44
volkswagen,2018,2000,112549,4,flex,manual,hatch,mg,79093.54
toyota,2016,3000,121713,4,gasolina,manual,sedan,sp,72341.98
ford,2018,1600,98254,2,gasolina,automatico,sedan,pe,79806.15
volkswagen,2017,2000,102545,4,flex,automatico,sedan,ba,79164.99
bmw,2010,1000,191145,4,diesel,manual,hatch,rs,48103.03
volkswagen,2021,3000,64617,4,flex,automatico,sedan,mg,111644.15
ford,2017,1000,82347,4,flex,manual,suv,pe,63110.23
chevrolet,2017,3000,87777,4,diesel,manual,suv,pr,79702.63
ford,2024,3000,35148,4,diesel,automatico,sedan,mg,125680.62
ford,2020,1600,74562,4,gasolina,manual,sedan,rs,89229.83
chevrolet,2012,3000,165240,2,diesel,manual,hatch,pe,53849.84
chevrolet,2010,1600,192276,4,flex,automatico,hatch,ba,28688.06
chevrolet,2017,1000,113213,4,diesel,automatico,hatch,sp,72843.76
chevrolet,2012,1400,159903,4,flex,manual,hatch,rs,30475.72
chevrolet,2012,1600,156325,4,flex,automatico,hatch,pe,49364.77
ford,2010,1000,194937,4,flex,automatico,sedan,ba,21637.32
honda,2020,1600,57324,4,flex,manual,sedan,pr,80477.65
honda,2014,3000,150123,4,flex,automatico,picape,rs,78721.75
toyota,2019,1000,58461,4,flex,manual,hatch,mg,78684.4
honda,2016,1600,135437,2,flex,automatico,suv,rj,63279.34
bmw,2019,2000,91088,4,flex,automatico,suv,mg,127472.66
honda,2018,2000,99840,4,flex,automatico,sedan,pr,81005.48
ford,2021,3000,74740,4,flex,manual,hatch,pe,108434.75
chevrolet,2016,1400,144982,4,flex,automatico,hatch,sp,48097.31
chevrolet,2018,3000,111215,2,gasolina,automatico,hatch,rs,88218.74
hyundai,2017,1600,80386,4,diesel,manual,sedan,pe,73538.4
hyundai,2021,1000,40806,4,gasolina,manual,suv,sp,84130.82
hyundai,2011,1400,170627,4,flex,manual,hatch,pr,26743.66
ford,2010,1600,192391,4,gasolina,automatico,hatch,rs,21607.42
bmw,2025,1000,19764,4,flex,automatico,suv,ba,158774.73
honda,2016,1600,109113,4,flex,manual,suv,ba,65785.7
ford,2016,1600,122801,4,flex,automatico,sedan,pe,64776.42
toyota,2023,1000,24669,4,diesel,automatico,suv,mg,102776.17
chevrolet,2017,1600,98827,4,flex,automatico,sedan,pe,79023.97
hyundai,2014,1600,122900,4,flex,manual,hatch,mg,58677.35
volkswagen,2012,1400,154151,4,flex,automatico,sedan,pr,45446.15
toyota,2021,1000,39724,2,diesel,manual,sedan,ba,96400.41
hyundai,2017,1000,93361,4,gasolina,manual,picape,rs,54884.09
bmw,2015,1400,147804,4,flex,automatico,hatch,ba,86032.47
toyota,2020,2000,57759,4,flex,manual,sedan,mg,84391.44
ford,2012,1000,207485,4,flex,manual,sedan,pe,22086.05
honda,2010,1600,199399,4,gasolina,manual,sedan,pr,20168.17
chevrolet,2012,1000,170772,4,flex,manual,hatch,ba,24624.44
bmw,2014,1400,131124,4,diesel,manual,sedan,pr,84177.69
bmw,2024,2000,34504,4,flex,automatico,suv,ba,160986.04
volkswagen,2023,1600,27365,2,gasolina,manual,sedan,pe,95966.94
toyota,2012,1000,169830,4,flex,manual,sedan,sp,22540.64
volkswagen,2010,1400,230401,2,flex,manual,hatch,pe,16340.57
honda,2014,1000,142559,4,flex,automatico,hatch,ba,44277.46
hyundai,2019,1400,101239,4,flex,automatico,sedan,mg,76123.12
honda,2016,1600,109452,4,flex,manual,suv,pe,64874.89
hyundai,2024,1000,23475,4,gasolina,automatico,picape,rs,103031.25
volkswagen,2023,1000,62562,4,flex,manual,sedan,mg,89607.8
chevrolet,2016,1400,110595,4,gasolina,manual,sedan,mg,58853.97
honda,2020,2000,99186,2,diesel,manual,suv,mg,81253.0
volkswagen,2018,3000,106616,4,flex,manual,sedan,pr,89923.38
toyota,2024,1000,15562,4,gasolina,manual,sedan,rj,99821.32
volkswagen,2024,1600,33486,4,gasolina,automatico,hatch,rj,122220.2
volkswagen,2019,1400,98588,4,flex,manual,suv,sp,71883.07
ford,2019,1400,93327,4,diesel,automatico,sedan,mg,84657.3
honda,2021,1600,36446,2,flex,manual,suv,rj,96963.22
chevrolet,2022,2000,37092,4,flex,manual,suv,sp,99298.5
chevrolet,2012,3000,164287,4,gasolina,automatico,hatch,pr,48089.52
ford,2024,1600,22883,4,flex,automatico,suv,mg,118571.33
hyundai,2025,1400,21310,4,flex,manual,suv,rs,111464.94
bmw,2016,1600,122665,4,flex,automatico,sedan,pr,103579.38
hyundai,2010,1000,171969,4,diesel,manual,hatch,sp,15072.01
chevrolet,2013,1600,161702,4,eletrico,manual,hatch,pr,36292.56
volkswagen,2022,1400,57158,4,flex,manual,sedan,rs,102268.67
ford,2025,1600,20396,4,gasolina,manual,sedan,pr,106278.83
toyota,2013,1000,172211,4,eletrico,manual,sedan,sp,33338.1
honda,2023,1000,48508,4,flex,manual,hatch,rs,90350.79
honda,2014,2000,150887,4,flex,automatico,suv,rs,55688.06
honda,2016,1000,118947,4,gasolina,manual,hatch,pr,49572.44
volkswagen,2016,1400,95085,4,diesel,automatico,hatch,rs,63520.08
toyota,2022,1000,54444,4,diesel,manual,sedan,pe,90689.52
ford,2024,1000,27115,4,flex,automatico,sedan,pr,115885.97
ford,2020,1000,76073,4,flex,automatico,hatch,mg,85939.12
honda,2022,1000,28848,4,flex,manual,hatch,rs,92189.71
toyota,2013,2000,139784,2,flex,manual,hatch,pr,41600.2
toyota,2022,1000,63797,4,flex,automatico,suv,mg,97014.58
toyota,2025,3000,11406,4,gasolina,automatico,suv,rs,150570.85
chevrolet,2016,1600,130222,4,flex,manual,sedan,mg,54763.23
chevrolet,2020,1400,72424,4,diesel,manual,suv,ba,79056.48
honda,2012,1600,168446,4,flex,automatico,suv,rs,38127.65
toyota,2015,1400,146074,2,flex,manual,hatch,ba,44941.83
bmw,2021,1600,52259,4,flex,automatico,picape,sp,120134.65
toyota,2011,1000,181441,4,flex,manual,suv,sp,21309.03
ford,2019,1400,77065,4,flex,manual,hatch,pr,71512.49
ford,2022,2000,41482,4,hibrido,automatico,hatch,rj,101726.38
honda,2023,2000,31362,4,diesel,automatico,hatch,ba,119561.65
bmw,2018,2000,99332,2,flex,manual,hatch,ba,104690.11
toyota,2014,1400,136818,4,flex,automatico,suv,sp,50583.95
hyundai,2015,1600,150836,4,eletrico,automatico,sedan,ba,64406.81
bmw,2021,1400,46580,4,flex,automatico,suv,rj,125266.92
honda,2021,1400,57196,4,flex,manual,suv,mg,80057.61
ford,2021,1000,53404,4,flex,automatico,suv,mg,92835.93
hyundai,2021,1600,81704,4,eletrico,automatico,suv,rj,100191.84
ford,2013,1000,158948,4,flex,automatico,hatch,ba,31786.09
chevrolet,2023,1400,51477,2,flex,automatico,sedan,ba,107616.9
honda,2023,2000,13716,2,eletrico,manual,suv,ba,113347.6
honda,2020,1000,76005,4,flex,automatico,hatch,pe,73303.45
toyota,2025,1000,25344,4,flex,automatico,hatch,pr,117690.91
toyota,2019,1000,85234,4,flex,manual,suv,rs,74097.93
chevrolet,2016,2000,135982,4,diesel,automatico,suv,rj,67043.77
hyundai,2021,1400,52240,4,flex,manual,hatch,rj,94725.73
volkswagen,2018,1400,117140,2,hibrido,automatico,suv,pe,78911.28
bmw,2016,2000,154483,2,gasolina,manual,suv,rj,93343.14
volkswagen,2023,2000,30557,2,flex,automatico,sedan,rj,113659.22
volkswagen,2010,1400,185317,4,hibrido,automatico,hatch,pe,22138.31
honda,2010,1600,213800,4,flex,automatico,picape,rj,24942.18
bmw,2018,1600,119693,4,flex,automatico,sedan,ba,113094.84
honda,2020,1600,64157,2,flex,automatico,hatch,pe,90955.57
bmw,2023,1000,29697,4,flex,manual,sedan,pr,120057.94
ford,2018,2000,91773,4,flex,automatico,suv,sp,90577.62
honda,2013,1400,135833,4,flex,automatico,hatch,ba,48876.17
honda,2022,1000,34220,2,flex,automatico,hatch,ba,96968.88
honda,2018,1400,80937,4,diesel,manual,hatch,rs,74945.24
hyundai,2012,1000,156483,4,flex,automatico,picape,pe,43150.74
chevrolet,2016,1000,119479,4,hibrido,automatico,hatch,sp,45068.59
honda,2015,1600,135513,4,flex,automatico,sedan,rj,61544.37
toyota,2017,1000,131257,4,flex,manual,picape,sp,46678.2
toyota,2020,1400,57024,4,flex,manual,hatch,pr,85741.95
bmw,2018,1400,110764,4,flex,automatico,picape,mg,109825.04
ford,2023,1000,32790,4,flex,manual,picape,ba,98760.13
chevrolet,2014,3000,143258,4,gasolina,automatico,suv,pe,68015.06
hyundai,2010,1000,202122,4,eletrico,manual,hatch,pe,12000.0
bmw,2012,1400,151159,4,hibrido,automatico,suv,sp,73874.31
toyota,2019,1400,89736,4,flex,manual,suv,rs,75873.84
chevrolet,2021,1000,62496,2,diesel,automatico,picape,pr,95202.56
chevrolet,2017,1000,115386,2,flex,automatico,hatch,mg,58332.94
ford,2024,1600,28337,4,flex,manual,suv,pr,113084.75
chevrolet,2020,3000,108829,4,diesel,manual,sedan,pe,91436.29
honda,2015,1000,122433,4,gasolina,manual,hatch,rj,47947.3
chevrolet,2025,1600,4035,4,flex,automatico,sedan,mg,121545.28
ford,2025,1600,2652,4,flex,automatico,suv,pe,125213.05
bmw,2017,2000,99667,2,flex,automatico,sedan,rs,118009.34
ford,2018,1400,86439,4,gasolina,automatico,sedan,mg,71699.08
hyundai,2013,1400,173835,4,flex,automatico,picape,pe,38825.22
ford,2010,1400,213307,2,hibrido,manual,sedan,rs,15728.76
toyota,2023,1600,27438,4,flex,manual,suv,rj,115592.22
honda,2010,2000,179514,4,flex,manual,sedan,rs,22756.95
toyota,2019,1000,91071,4,flex,automatico,sedan,pr,87040.02
bmw,2013,1400,147716,4,flex,automatico,suv,sp,91164.72
volkswagen,2021,2000,69493,4,flex,manual,picape,pr,92589.49
bmw,2023,2000,39043,4,gasolina,automatico,sedan,pe,148152.79
honda,2016,3000,97263,2,diesel,automatico,suv,pe,82950.22
chevrolet,2011,1600,203212,4,eletrico,automatico,hatch,ba,30877.19
ford,2012,1400,194938,4,diesel,manual,hatch,pr,19525.7
volkswagen,2010,1600,182808,4,diesel,manual,sedan,mg,21397.6
honda,2014,1600,138184,4,flex,automatico,hatch,rj,61956.8
toyota,2010,1000,196287,4,diesel,automatico,hatch,ba,17501.52
ford,2017,1400,113016,4,flex,automatico,sedan,ba,68143.98
bmw,2010,1600,201878,2,flex,manual,hatch,ba,45412.6
toyota,2020,1000,102153,4,flex,manual,hatch,pe,73547.36
honda,2010,1600,189345,4,flex,automatico,sedan,sp,30120.66
honda,2011,1600,168025,4,flex,automatico,sedan,rs,36814.76
bmw,2011,3000,159310,4,hibrido,automatico,picape,mg,88519.36
volkswagen,2021,1000,49036,4,flex,automatico,suv,pe,90680.81
bmw,2015,1000,131503,4,flex,manual,sedan,rj,82284.05
chevrolet,2016,1600,146918,4,flex,automatico,picape,pe,62018.22
toyota,2014,1000,136235,4,flex,automatico,suv,sp,49139.61
volkswagen,2025,1600,15356,4,flex,manual,hatch,pe,115471.51
ford,2010,1600,191753,4,flex,automatico,hatch,pe,34054.19
hyundai,2010,1000,209825,4,flex,manual,suv,pr,13911.22
chevrolet,2012,1400,205903,4,flex,manual,sedan,rj,25878.86
volkswagen,2023,1400,28036,4,gasolina,manual,suv,ba,108686.71
hyundai,2011,1400,172658,4,gasolina,manual,suv,rj,27502.64
hyundai,2014,2000,159662,4,flex,manual,suv,rj,54575.51
toyota,2021,2000,70228,4,flex,automatico,picape,pr,104000.51
honda,2019,1600,111700,4,flex,automatico,sedan,rs,71735.4
ford,2025,1600,20758,4,gasolina,automatico,hatch,pe,128110.47
bmw,2015,1400,126610,4,flex,manual,suv,mg,85984.38
toyota,2025,2000,20859,4,flex,manual,hatch,ba,118111.38
chevrolet,2016,1600,136630,2,gasolina,automatico,suv,rs,65112.24
hyundai,2013,1600,168307,4,flex,manual,picape,sp,35729.03
chevrolet,2016,2000,127609,4,flex,manual,suv,pe,62993.79
hyundai,2020,1000,88000,4,flex,automatico,sedan,ba,78840.62
honda,2017,2000,125539,4,eletrico,automatico,sedan,mg,81040.51
honda,2020,1000,92732,4,diesel,automatico,sedan,pe,80522.26
ford,2010,1400,201730,4,gasolina,automatico,sedan,sp,22627.58
bmw,2024,1400,21493,4,flex,manual,suv,pr,136951.42
ford,2015,3000,134200,4,flex,automatico,suv,rs,77713.88
honda,2017,2000,126097,4,hibrido,manual,suv,pe,67520.99
honda,2014,1600,131745,4,hibrido,automatico,hatch,ba,57380.37
chevrolet,2013,1600,161530,4,flex,manual,sedan,rj,33334.24
honda,2011,1600,174099,4,diesel,automatico,suv,mg,27579.24
volkswagen,2015,2000,132431,4,flex,manual,sedan,pe,59763.31
hyundai,2015,1400,151176,4,flex,automatico,sedan,ba,62046.81
toyota,2020,1400,74866,4,gasolina,automatico,suv,rj,83438.33
honda,2024,1000,24696,4,flex,automatico,suv,ba,117242.81
ford,2025,1600,0,4,eletrico,automatico,sedan,pe,126119.56
bmw,2025,1600,23193,4,flex,automatico,suv,sp,156185.74
hyundai,2010,1400,201682,4,flex,automatico,hatch,rj,22559.96
hyundai,2018,1000,128448,4,eletrico,automatico,picape,rj,59810.21
bmw,2021,2000,55383,4,eletrico,automatico,hatch,ba,143131.19
bmw,2020,1000,75287,4,flex,automatico,hatch,pr,114828.92
hyundai,2015,1600,135740,4,flex,automatico,suv,pe,55439.97
volkswagen,2025,3000,35661,4,gasolina,automatico,hatch,pr,141110.48
ford,2022,1400,46570,4,flex,automatico,suv,rs,92399.58
volkswagen,2012,1000,172185,4,hibrido,automatico,suv,sp,25554.26
honda,2013,1600,165118,4,eletrico,automatico,suv,pr,45841.63
toyota,2021,2000,62799,4,flex,automatico,picape,ba,103546.57
bmw,2020,1400,65303,4,flex,manual,hatch,pe,119428.22
ford,2013,3000,158911,4,flex,automatico,suv,pr,62154.36
bmw,2012,1000,184104,2,eletrico,automatico,hatch,rs,79036.25
volkswagen,2019,1400,68602,4,flex,automatico,sedan,mg,83870.24
chevrolet,2012,1600,169994,4,flex,automatico,suv,rs,39546.97
honda,2024,2000,13498,4,flex,manual,sedan,rj,110990.37
toyota,2012,1000,185925,4,flex,automatico,sedan,pe,31730.78
honda,2013,2000,133152,4,flex,automatico,sedan,rj,58602.01
chevrolet,2025,1600,3616,4,flex,automatico,suv,pr,130175.49
toyota,2016,1400,125658,4,eletrico,manual,picape,pr,47504.88
chevrolet,2013,1000,179482,4,eletrico,automatico,hatch,rs,35347.72
honda,2018,2000,95013,4,gasolina,automatico,sedan,rs,85981.57
volkswagen,2010,1000,183672,4,flex,manual,suv,ba,17384.49
hyundai,2017,1400,136217,4,flex,manual,sedan,sp,57900.19
honda,2025,1000,0,4,gasolina,manual,hatch,ba,112212.12
honda,2016,2000,87017,4,flex,automatico,sedan,rj,71902.63
honda,2011,1600,186600,4,eletrico,manual,sedan,ba,33499.53
ford,2017,1600,100469,4,gasolina,manual,hatch,rs,70592.79
chevrolet,2010,1000,176681,4,flex,automatico,suv,pe,16773.21
chevrolet,2020,1600,82625,2,eletrico,manual,sedan,ba,76430.73
bmw,2021,1600,63657,4,hibrido,manual,picape,mg,118916.84
chevrolet,2018,2000,87538,4,flex,automatico,suv,sp,88259.15
bmw,2018,2000,76795,4,flex,automatico,suv,rs,115057.11
ford,2011,1000,193086,2,flex,automatico,hatch,pe,23881.98
volkswagen,2016,1600,129753,4,flex,automatico,sedan,pr,67010.57
bmw,2024,1000,22512,4,flex,automatico,hatch,ba,144292.37
honda,2023,1400,63699,4,flex,automatico,picape,rs,105039.59
volkswagen,2019,1000,67948,4,hibrido,manual,hatch,pr,66978.79
hyundai,2012,1400,145117,2,flex,manual,hatch,pr,37006.72
ford,2016,1400,109621,4,flex,automatico,sedan,rj,62290.79
chevrolet,2021,1600,59316,4,gasolina,manual,hatch,rj,88179.5
bmw,2025,1400,15650,4,flex,automatico,hatch,pe,156141.16
honda,2019,1600,80381,4,diesel,automatico,sedan,rs,86158.24
toyota,2025,1400,17280,4,flex,manual,hatch,pe,111827.9
hyundai,2018,1000,77226,4,flex,manual,hatch,rs,62662.97
toyota,2013,1600,177656,2,flex,manual,sedan,mg,34553.85
volkswagen,2021,1000,58767,4,gasolina,automatico,suv,sp,90695.87
chevrolet,2010,1400,208759,4,flex,automatico,sedan,sp,16610.72
toyota,2011,1600,185140,4,gasolina,automatico,sedan,rs,31616.34
volkswagen,2010,1400,198851,4,flex,manual,sedan,rj,18910.75
ford,2025,1000,20546,4,flex,automatico,sedan,ba,108030.92
volkswagen,2023,1400,42715,4,flex,automatico,picape,pe,112675.66
hyundai,2021,2000,69640,4,eletrico,manual,hatch,mg,99402.07
volkswagen,2014,1600,163937,4,eletrico,automatico,suv,sp,44383.7
hyundai,2014,1600,146947,4,flex,automatico,suv,rs,59946.05
volkswagen,2025,1600,22635,4,flex,manual,suv,rj,112586.84
honda,2020,1000,70653,4,flex,automatico,hatch,rj,86494.62
volkswagen,2016,1400,141601,4,flex,manual,hatch,rj,50076.59
bmw,2018,1600,85854,4,flex,automatico,suv,pe,119937.12
volkswagen,2018,1000,123014,4,eletrico,manual,hatch,ba,61578.37
honda,2012,1000,167397,4,eletrico,automatico,suv,pr,29819.68
honda,2012,1000,146538,4,flex,automatico,suv,pe,31193.29
ford,2025,1400,13921,4,flex,automatico,suv,ba,112910.34
hyundai,2025,3000,1784,4,diesel,automatico,hatch,rj,142172.11
chevrolet,2012,1000,180609,2,diesel,automatico,suv,rs,34771.01
toyota,2013,1400,146210,2,flex,automatico,suv,mg,49623.33
toyota,2017,1000,101307,4,flex,automatico,suv,ba,65714.04
volkswagen,2015,3000,103656,4,flex,automatico,hatch,rs,75166.62
ford,2017,1000,101215,4,flex,automatico,hatch,pe,62907.38
volkswagen,2010,1400,155641,4,flex,automatico,sedan,pe,37215.59
toyota,2017,1600,84241,4,flex,automatico,hatch,rj,73640.71
hyundai,2013,1600,167406,4,gasolina,automatico,sedan,mg,46306.19
hyundai,2020,1400,83787,2,flex,automatico,picape,sp,81853.7
hyundai,2010,1400,198381,4,flex,manual,sedan,sp,18725.77
honda,2017,1400,93495,4,flex,manual,suv,pe,61987.33
chevrolet,2013,1000,155284,4,diesel,manual,hatch,rs,37440.96
ford,2015,1000,131945,4,diesel,automatico,hatch,mg,56576.04
