make,year,engine_cc,mileage_km,doors,fuel_type,transmission,body_type,state,actual_price,rf_prediction,tf_prediction,rf_error,tf_error,rf_abs_error,tf_abs_error,tf_better,error_difference
honda,2011,1000,176535,4,flex,automatico,hatch,pr,29480.49,31236.614233333326,27629.184,1756.1242333333248,-1851.3064062500016,1756.1242333333248,1851.3064062500016,False,-95.18217291667679
chevrolet,2022,1000,66985,4,flex,manual,sedan,rs,92359.17,90420.61166666697,85483.7,-1938.5583333330287,-6875.466874999998,1938.5583333330287,6875.466874999998,False,-4936.9085416669695
hyundai,2024,1000,37893,2,flex,manual,sedan,pr,93695.05,100114.97806666672,98690.2,6419.928066666718,4995.153124999997,6419.928066666718,4995.153124999997,True,1424.7749416667211
hyundai,2017,1000,122111,4,flex,automatico,hatch,ba,58010.36,63501.35316666671,64481.203,5490.993166666711,6470.843124999999,5490.993166666711,6470.843124999999,False,-979.8499583332887
toyota,2025,1000,14963,4,flex,manual,hatch,ba,108871.79,107553.99029999996,107744.19,-1317.7997000000323,-1127.6024999999936,1317.7997000000323,1127.6024999999936,True,190.19720000003872
chevrolet,2023,1400,52412,4,flex,automatico,suv,pe,103471.44,103981.3753666668,104947.43,509.935366666803,1475.9896874999977,509.935366666803,1475.9896874999977,False,-966.0543208331947
honda,2014,1400,143444,4,gasolina,automatico,sedan,sp,54845.92,53312.24760000003,50893.062,-1533.6723999999667,-3952.8574999999983,1533.6723999999667,3952.8574999999983,False,-2419.1851000000315
volkswagen,2015,1400,142088,4,flex,manual,sedan,pe,57490.05,47130.42146666661,48076.094,-10359.628533333394,-9413.956250000003,10359.628533333394,9413.956250000003,True,945.6722833333915
bmw,2012,1400,169848,4,flex,automatico,picape,sp,66353.71,68345.33846666665,73438.51,1991.628466666647,7084.797812499994,1991.628466666647,7084.797812499994,False,-5093.169345833347
honda,2021,1400,81163,4,gasolina,automatico,suv,sp,93919.79,90869.99419999993,91448.16,-3049.7958000000654,-2471.6337499999936,3049.7958000000654,2471.6337499999936,True,578.1620500000718
hyundai,2018,1000,82771,4,gasolina,automatico,sedan,rs,83616.39,77874.54913333325,73743.586,-5741.840866666753,-9872.8040625,5741.840866666753,9872.8040625,False,-4130.963195833247
toyota,2014,2000,163760,4,eletrico,automatico,sedan,mg,49887.25,54582.12083333327,54527.9,4694.870833333269,4640.6484375,4694.870833333269,4640.6484375,True,54.22239583326882
volkswagen,2017,1000,120106,4,diesel,automatico,suv,pe,64934.54,68305.38556666682,63896.43,3370.8455666668233,-1038.1103125000009,3370.8455666668233,1038.1103125000009,True,2332.7352541668224
bmw,2022,1600,43081,4,flex,automatico,hatch,ba,134784.17,139004.0854,140563.27,4219.915399999998,5779.095624999987,4219.915399999998,5779.095624999987,False,-1559.1802249999892
chevrolet,2019,1600,108183,4,eletrico,manual,suv,mg,69262.06,74027.83413333324,71975.58,4765.774133333238,2713.5181250000023,4765.774133333238,2713.5181250000023,True,2052.2560083332355
bmw,2016,1000,123904,4,flex,manual,suv,pe,85943.25,86715.01893333343,84961.16,771.7689333334274,-982.09375,771.7689333334274,982.09375,False,-210.3248166665726
bmw,2010,1600,182882,4,gasolina,automatico,suv,ba,65664.77,59895.75676666676,64931.586,-5769.013233333244,-733.1840625000041,5769.013233333244,733.1840625000041,True,5035.82917083324
toyota,2022,1400,56250,4,flex,automatico,suv,rj,95009.17,99733.15503333334,101429.83,4723.985033333345,6420.658125000002,4723.985033333345,6420.658125000002,False,-1696.6730916666565
ford,2016,1600,131902,4,flex,automatico,hatch,mg,65967.4,62964.93933333344,64003.348,-3002.460666666557,-1964.0523437499942,3002.460666666557,1964.0523437499942,True,1038.4083229165626
hyundai,2019,1600,101226,4,hibrido,manual,suv,rs,80599.72,75952.20329999998,72938.64,-4647.516700000022,-7661.079375000001,4647.516700000022,7661.079375000001,False,-3013.562674999979
chevrolet,2020,1400,72424,4,diesel,manual,suv,ba,79056.48,80665.75463333332,81433.734,1609.2746333333198,2377.254375000004,1609.2746333333198,2377.254375000004,False,-767.9797416666843
toyota,2021,2000,62799,4,flex,automatico,picape,ba,103546.57,101879.69116666638,102593.45,-1666.878833333627,-953.116875000007,1666.878833333627,953.116875000007,True,713.76195833362
honda,2012,3000,181869,4,flex,manual,hatch,mg,46657.39,45011.6010333332,47735.26,-1645.788966666798,1077.8717187500006,1645.788966666798,1077.8717187500006,True,567.9172479167974
ford,2010,1400,205427,4,flex,manual,suv,ba,20170.91,19247.975133333344,15479.303,-922.9348666666556,-4691.607265625,922.9348666666556,4691.607265625,False,-3768.6723989583443
bmw,2021,2000,64865,4,gasolina,automatico,suv,pr,134315.89,128376.06463333353,136021.52,-5939.825366666482,1705.625624999986,5939.825366666482,1705.625624999986,True,4234.199741666496
chevrolet,2013,2000,194600,4,flex,manual,hatch,pe,33420.31,38938.25496666658,37946.758,5517.944966666582,4526.447812500002,5517.944966666582,4526.447812500002,True,991.49715416658
ford,2023,3000,53006,4,flex,automatico,sedan,pr,125266.24,117156.36210000013,123737.38,-8109.877899999876,-1528.8571875000052,8109.877899999876,1528.8571875000052,True,6581.020712499871
honda,2012,1600,160741,4,diesel,manual,hatch,pe,31084.41,33649.883533333305,34261.49,2565.4735333333047,3177.07828125,2565.4735333333047,3177.07828125,False,-611.6047479166955
bmw,2020,2000,44984,4,flex,manual,suv,sp,119061.17,127054.8123666667,127091.734,7993.642366666696,8030.564375000002,7993.642366666696,8030.564375000002,False,-36.92200833330571
chevrolet,2021,2000,62715,4,flex,automatico,suv,sp,92526.05,103452.26623333324,101783.99,10926.216233333238,9257.942187499997,10926.216233333238,9257.942187499997,True,1668.274045833241
hyundai,2012,1400,152901,4,flex,manual,sedan,ba,30752.37,34104.022800000064,34008.86,3351.6528000000653,3256.489375000001,3351.6528000000653,3256.489375000001,True,95.16342500006431
honda,2025,1000,0,4,gasolina,manual,hatch,ba,112212.12,111625.54756666679,109392.484,-586.5724333332037,-2819.6356249999953,586.5724333332037,2819.6356249999953,False,-2233.0631916667917
bmw,2024,1000,22512,4,flex,automatico,hatch,ba,144292.37,150055.34173333322,145485.36,5762.971733333223,1192.9893750000047,5762.971733333223,1192.9893750000047,True,4569.982358333218
bmw,2015,1400,126610,4,flex,manual,suv,mg,85984.38,88094.01180000004,85185.516,2109.631800000032,-798.8643750000047,2109.631800000032,798.8643750000047,True,1310.7674250000273
toyota,2021,1400,60155,4,gasolina,manual,suv,mg,82434.33,88160.42899999993,86692.445,5726.098999999929,4258.115312499998,5726.098999999929,4258.115312499998,True,1467.983687499931
honda,2025,1400,0,4,flex,automatico,hatch,pe,126205.88,118387.53266666671,121959.69,-7818.347333333295,-4246.192500000005,7818.347333333295,4246.192500000005,True,3572.1548333332903
ford,2019,1000,104462,4,diesel,automatico,suv,pe,78337.65,75285.66566666674,74203.89,-3051.9843333332537,-4133.759374999994,3051.9843333332537,4133.759374999994,False,-1081.7750416667404
hyundai,2011,1400,197805,2,flex,automatico,suv,rj,28547.16,33249.58563333333,30321.13,4702.425633333329,1773.9708593750001,4702.425633333329,1773.9708593750001,True,2928.4547739583286
volkswagen,2015,2000,142641,4,flex,automatico,sedan,ba,58063.32,60786.311099999984,64088.3,2722.9910999999847,6024.98078125,2722.9910999999847,6024.98078125,False,-3301.9896812500156
volkswagen,2012,1600,187654,4,flex,automatico,suv,rs,47869.66,39898.56493333333,37955.453,-7971.095066666676,-9914.206875000003,7971.095066666676,9914.206875000003,False,-1943.1118083333276
bmw,2010,1000,216205,4,diesel,manual,sedan,sp,49421.69,57857.59980000002,45069.105,8435.909800000016,-4352.584531250002,8435.909800000016,4352.584531250002,True,4083.3252687500135
hyundai,2019,1600,90285,4,flex,automatico,sedan,pe,83741.58,82203.12163333337,84692.1,-1538.4583666666294,950.5215624999983,1538.4583666666294,950.5215624999983,True,587.9368041666312
chevrolet,2023,1400,34113,4,flex,manual,picape,sp,103382.56,104138.31740000023,99891.21,755.7574000002351,-3491.3490624999977,755.7574000002351,3491.3490624999977,False,-2735.5916624997626
volkswagen,2017,1000,100984,4,flex,automatico,sedan,ba,60818.05,66819.67833333327,67305.414,6001.6283333332685,6487.364062499997,6001.6283333332685,6487.364062499997,False,-485.73572916672856
honda,2020,1000,92732,4,diesel,automatico,sedan,pe,80522.26,79225.10913333322,81244.94,-1297.1508666667796,722.6775000000052,1297.1508666667796,722.6775000000052,True,574.4733666667744
hyundai,2020,1400,97904,4,gasolina,automatico,hatch,mg,85359.87,81060.71796666653,85692.92,-4299.152033333463,333.05187500000466,4299.152033333463,333.05187500000466,True,3966.1001583334582
volkswagen,2010,1400,187575,2,gasolina,automatico,sedan,pe,24806.44,26500.416466666644,25616.041,1693.9764666666451,809.6010156250013,1693.9764666666451,809.6010156250013,True,884.3754510416438
ford,2021,1600,68961,4,gasolina,automatico,sedan,rs,97447.54,92342.70453333342,95216.45,-5104.835466666569,-2231.0868749999936,5104.835466666569,2231.0868749999936,True,2873.7485916665755
bmw,2012,2000,162563,4,flex,manual,hatch,mg,78739.42,68992.8637000001,73906.625,-9746.556299999895,-4832.794999999998,9746.556299999895,4832.794999999998,True,4913.761299999896
bmw,2018,1400,91909,4,flex,automatico,suv,ba,113934.7,115695.77193333342,112453.84,1761.0719333334273,-1480.856249999997,1761.0719333334273,1480.856249999997,True,280.2156833334302
volkswagen,2012,1000,156698,4,flex,manual,hatch,sp,26651.38,29312.101233333295,27915.037,2660.7212333332936,1263.657109374999,2660.7212333332936,1263.657109374999,True,1397.0641239582947
toyota,2023,1600,43155,4,flex,automatico,suv,ba,102969.97,107034.01480000015,109586.75,4064.044800000149,6616.779999999999,4064.044800000149,6616.779999999999,False,-2552.73519999985
toyota,2025,2000,20859,4,flex,manual,hatch,ba,118111.38,113547.24350000001,118961.875,-4564.136499999993,850.4949999999953,4564.136499999993,850.4949999999953,True,3713.641499999998
honda,2011,2000,204230,4,hibrido,automatico,hatch,rj,39733.24,36857.724299999994,35497.32,-2875.5157000000036,-4235.919687499998,2875.5157000000036,4235.919687499998,False,-1360.4039874999944
hyundai,2023,1400,42629,4,gasolina,manual,hatch,rj,103327.86,104084.86370000019,100575.84,757.0037000001903,-2752.0162500000006,757.0037000001903,2752.0162500000006,False,-1995.0125499998103
volkswagen,2010,1400,230401,2,flex,manual,hatch,pe,16340.57,18724.92963333333,12011.563,2384.35963333333,-4329.0065234375,2384.35963333333,4329.0065234375,False,-1944.6468901041699
toyota,2021,2000,70228,4,flex,automatico,picape,pr,104000.51,99792.16869999963,100575.81,-4208.341300000364,-3424.6974999999948,4208.341300000364,3424.6974999999948,True,783.6438000003691
volkswagen,2014,2000,148611,4,flex,automatico,sedan,rj,60154.0,57447.25763333327,59452.81,-2706.742366666731,-701.19140625,2706.742366666731,701.19140625,True,2005.550960416731
hyundai,2014,1000,141405,4,flex,automatico,sedan,pe,43714.53,46599.22793333323,47308.41,2884.6979333332347,3593.880156250001,2884.6979333332347,3593.880156250001,False,-709.1822229167665
ford,2017,1400,113016,4,flex,automatico,sedan,ba,68143.98,69869.02743333338,69270.94,1725.047433333384,1126.957500000004,1725.047433333384,1126.957500000004,True,598.08993333338
volkswagen,2013,1000,144210,4,flex,manual,hatch,mg,32755.63,33665.66259999991,34360.91,910.0325999999077,1605.280156249999,910.0325999999077,1605.280156249999,False,-695.2475562500913
volkswagen,2014,1600,127098,4,flex,automatico,hatch,rs,60159.58,56005.67013333325,56474.05,-4153.909866666749,-3685.5292187500017,4153.909866666749,3685.5292187500017,True,468.38064791674697
ford,2015,1400,130675,4,flex,automatico,hatch,ba,63684.64,57530.68526666657,57726.074,-6153.954733333427,-5958.565781249999,6153.954733333427,5958.565781249999,True,195.38895208342728
chevrolet,2015,2000,146970,4,gasolina,automatico,suv,ba,60854.96,59363.92670000002,62305.83,-1491.033299999981,1450.8681250000009,1491.033299999981,1450.8681250000009,True,40.16517499998008
bmw,2014,1400,159706,4,gasolina,automatico,sedan,pe,80334.31,80752.12053333348,83503.11,417.81053333348245,3168.7993750000023,417.81053333348245,3168.7993750000023,False,-2750.98884166652
honda,2024,2000,25326,4,flex,manual,suv,sp,114929.2,113613.4974666666,112828.22,-1315.7025333334022,-2100.981249999997,1315.7025333334022,2100.981249999997,False,-785.2787166665948
hyundai,2010,2000,205246,4,gasolina,manual,sedan,pr,21537.38,22085.558333333338,23119.314,548.1783333333369,1581.934453124999,548.1783333333369,1581.934453124999,False,-1033.756119791662
honda,2021,1000,41330,4,eletrico,automatico,picape,rs,94086.23,94023.48426666648,91765.66,-62.74573333351873,-2320.573749999996,62.74573333351873,2320.573749999996,False,-2257.828016666477
toyota,2019,1000,85234,4,flex,manual,suv,rs,74097.93,71439.32246666655,69083.45,-2658.6075333334447,-5014.476874999993,2658.6075333334447,5014.476874999993,False,-2355.8693416665483
hyundai,2018,1000,85963,4,flex,automatico,picape,pr,64443.08,79286.28029999991,73334.664,14843.20029999991,8891.584062499998,14843.20029999991,8891.584062499998,True,5951.616237499911
chevrolet,2012,1000,170770,4,eletrico,manual,hatch,pe,25967.81,23864.724099999996,23965.541,-2103.0859000000055,-2002.2689843750013,2103.0859000000055,2002.2689843750013,True,100.81691562500419
hyundai,2011,1000,157452,2,flex,manual,suv,ba,18418.33,24724.271466666658,22739.076,6305.941466666656,4320.746171874998,6305.941466666656,4320.746171874998,True,1985.195294791658
ford,2025,1000,0,2,gasolina,manual,sedan,mg,110637.03,111360.085,107379.45,723.0550000000076,-3257.576874999999,723.0550000000076,3257.576874999999,False,-2534.5218749999913
toyota,2010,1600,179727,4,flex,automatico,sedan,sp,26437.95,29110.183000000037,30374.79,2672.2330000000366,3936.8390624999993,2672.2330000000366,3936.8390624999993,False,-1264.6060624999627
honda,2019,1000,80798,2,flex,manual,sedan,rs,66089.22,71213.88583333322,68871.195,5124.665833333216,2781.975312499999,5124.665833333216,2781.975312499999,True,2342.6905208332173
volkswagen,2022,1400,45447,4,gasolina,manual,hatch,rj,94574.7,96457.53510000026,95332.69,1882.8351000002585,757.9875000000029,1882.8351000002585,757.9875000000029,True,1124.8476000002556
volkswagen,2011,1000,173525,4,eletrico,automatico,picape,pe,24505.14,30403.24649999996,27547.275,5898.106499999962,3042.1353906250006,5898.106499999962,3042.1353906250006,True,2855.971109374961
honda,2010,1600,213800,4,flex,automatico,picape,rj,24942.18,25204.171633333364,26177.541,261.991633333364,1235.3610156249997,261.991633333364,1235.3610156249997,False,-973.3693822916357
toyota,2023,1600,27438,4,flex,manual,suv,rj,115592.22,101931.14876666646,104507.58,-13661.07123333354,-11084.641875000001,13661.07123333354,11084.641875000001,True,2576.4293583335384
honda,2010,1400,177425,4,flex,manual,suv,mg,12000.0,22548.715333333377,19802.252,10548.715333333377,7802.251953125,10548.715333333377,7802.251953125,True,2746.463380208377
chevrolet,2014,1000,128064,4,diesel,manual,picape,mg,47152.54,38587.94979999995,41047.727,-8564.59020000005,-6104.813437500001,8564.59020000005,6104.813437500001,True,2459.776762500049
toyota,2021,1400,77590,4,flex,manual,suv,mg,81395.81,86540.90933333324,84393.51,5145.099333333244,2997.6978125000023,5145.099333333244,2997.6978125000023,True,2147.401520833242
bmw,2018,1600,106473,4,gasolina,manual,suv,rs,106229.03,106841.44270000006,103435.055,612.412700000059,-2793.975312499999,612.412700000059,2793.975312499999,False,-2181.56261249994
ford,2024,1000,39735,2,flex,manual,sedan,mg,96501.28,99997.83643333337,97585.266,3496.556433333375,1083.9856250000012,3496.556433333375,1083.9856250000012,True,2412.570808333374
hyundai,2020,1600,79516,4,flex,automatico,hatch,mg,100859.22,88036.93763333328,91191.77,-12822.282366666725,-9667.446562500001,12822.282366666725,9667.446562500001,True,3154.8358041667234
chevrolet,2012,1000,180609,2,diesel,automatico,suv,rs,34771.01,32473.626299999996,30748.455,-2297.383700000006,-4022.554921875002,2297.383700000006,4022.554921875002,False,-1725.1712218749963
volkswagen,2019,1600,97260,4,hibrido,automatico,picape,mg,82775.95,81083.8472333335,81910.73,-1692.1027666665032,-865.2234374999971,1692.1027666665032,865.2234374999971,True,826.8793291665061
toyota,2025,1600,24577,4,gasolina,automatico,sedan,pe,120751.08,122862.02413333331,120628.766,2110.944133333309,-122.31437500000175,2110.944133333309,122.31437500000175,True,1988.629758333307
bmw,2020,1600,39409,4,flex,automatico,sedan,pr,134135.1,127741.72519999999,131134.33,-6393.37480000002,-3000.771875000006,6393.37480000002,3000.771875000006,True,3392.602925000014
hyundai,2023,1000,4172,4,flex,manual,hatch,pe,101129.22,98500.81723333357,100275.94,-2628.4027666664333,-853.2825000000012,2628.4027666664333,853.2825000000012,True,1775.1202666664321
hyundai,2021,2000,52593,4,gasolina,manual,hatch,rj,96865.81,98979.49466666668,97273.43,2113.6846666666825,407.6196875000023,2113.6846666666825,407.6196875000023,True,1706.0649791666801
hyundai,2021,1400,88230,4,flex,automatico,hatch,rj,91915.37,92430.8137000001,93153.695,515.4437000001053,1238.3253125000047,515.4437000001053,1238.3253125000047,False,-722.8816124998993
ford,2014,1000,145099,4,flex,manual,hatch,rj,45014.18,38729.36299999995,38841.523,-6284.817000000054,-6172.6565625,6284.817000000054,6172.6565625,True,112.16043750005338
toyota,2014,3000,169659,4,flex,manual,sedan,mg,58552.27,68661.65193333341,58612.527,10109.381933333418,60.2573437500032,10109.381933333418,60.2573437500032,True,10049.124589583414
toyota,2017,1600,94167,2,hibrido,automatico,sedan,pe,76230.14,72263.41610000012,71840.46,-3966.723899999881,-4389.679062499999,3966.723899999881,4389.679062499999,False,-422.9551625001186
volkswagen,2011,1000,183611,4,flex,manual,hatch,sp,25331.62,20076.935900000015,19351.752,-5254.684099999984,-5979.868046874999,5254.684099999984,5979.868046874999,False,-725.183946875015
honda,2023,1600,30440,4,diesel,automatico,picape,rs,107060.57,109082.76806666685,111195.92,2022.1980666668387,4135.351874999993,2022.1980666668387,4135.351874999993,False,-2113.1538083331543
hyundai,2014,1600,161596,4,eletrico,automatico,hatch,pe,43574.78,51264.8850999999,50499.574,7690.105099999899,6924.794218750001,7690.105099999899,6924.794218750001,True,765.3108812498976
volkswagen,2011,1600,187297,4,diesel,manual,suv,rj,33601.07,28370.06616666676,27388.404,-5231.003833333241,-6212.665703125,5231.003833333241,6212.665703125,False,-981.6618697917584
bmw,2021,1400,46580,4,flex,automatico,suv,rj,125266.92,129834.24796666687,133501.17,4567.327966666868,8234.251875000002,4567.327966666868,8234.251875000002,False,-3666.923908333134
chevrolet,2014,1400,133434,4,diesel,manual,sedan,sp,34150.73,43234.83440000003,45086.29,9084.104400000026,10935.559062499997,9084.104400000026,10935.559062499997,False,-1851.4546624999712
honda,2013,1600,161902,4,gasolina,manual,suv,rs,39244.0,39238.0606333333,37337.645,-5.9393666667019716,-1906.35546875,5.9393666667019716,1906.35546875,False,-1900.416102083298
honda,2021,1600,39793,4,flex,manual,sedan,rs,87575.52,94279.65216666674,92260.36,6704.132166666735,4684.839374999996,6704.132166666735,4684.839374999996,True,2019.2927916667395
ford,2016,1600,122801,4,flex,automatico,sedan,pe,64776.42,66193.90349999999,65000.797,1417.4834999999875,224.37687500000175,1417.4834999999875,224.37687500000175,True,1193.1066249999858
hyundai,2021,1000,69239,4,flex,manual,picape,rj,74866.33,88055.58483333343,82839.59,13189.254833333427,7973.263749999998,13189.254833333427,7973.263749999998,True,5215.991083333429
volkswagen,2025,1400,0,4,flex,automatico,suv,rj,130382.61,121126.38080000023,123595.86,-9256.229199999769,-6786.750625000001,9256.229199999769,6786.750625000001,True,2469.478574999768
bmw,2021,1600,71052,4,flex,automatico,suv,rs,126933.8,123488.3014333335,130726.375,-3445.4985666665016,3792.574999999997,3445.4985666665016,3792.574999999997,False,-347.0764333334955
volkswagen,2023,1600,38921,4,flex,automatico,hatch,rs,109497.0,108690.7139333332,110199.96,-806.2860666667984,702.9609375,806.2860666667984,702.9609375,True,103.32512916679843
volkswagen,2017,1600,96113,4,diesel,manual,suv,mg,76253.67,67344.5653999999,66909.03,-8909.104600000093,-9344.638749999998,8909.104600000093,9344.638749999998,False,-435.5341499999049
hyundai,2018,3000,85770,4,eletrico,automatico,hatch,rj,95625.83,95530.70083333302,98254.805,-95.12916666698584,2628.9746874999983,95.12916666698584,2628.9746874999983,False,-2533.8455208330124
bmw,2010,1000,191145,4,diesel,manual,hatch,rs,48103.03,64330.02496666665,48707.695,16226.99496666665,604.6653125000012,16226.99496666665,604.6653125000012,True,15622.32965416665
chevrolet,2010,2000,194201,4,gasolina,manual,hatch,pr,13781.8,24236.433599999997,24079.139,10454.633599999997,10297.338671875,10454.633599999997,10297.338671875,True,157.29492812499666
ford,2018,1000,92776,4,flex,automatico,sedan,pr,71042.57,77302.68293333324,71092.06,6260.112933333236,49.492499999993015,6260.112933333236,49.492499999993015,True,6210.6204333332425
hyundai,2014,2000,146408,4,diesel,manual,suv,rj,46682.26,54120.63523333326,52130.45,7438.3752333332595,5448.189218749998,7438.3752333332595,5448.189218749998,True,1990.1860145832616
honda,2014,1400,145236,4,flex,automatico,suv,ba,52384.79,52424.15860000009,51160.227,39.36860000008892,-1224.5634375000009,39.36860000008892,1224.5634375000009,False,-1185.194837499912
bmw,2023,1600,61258,4,flex,automatico,sedan,pr,143437.36,140543.2025333336,141429.17,-2894.1574666663946,-2008.188124999986,2894.1574666663946,2008.188124999986,True,885.9693416664086
hyundai,2024,1600,25152,4,flex,automatico,sedan,rj,120603.87,113493.03856666695,118532.46,-7110.831433333049,-2071.4090624999953,7110.831433333049,2071.4090624999953,True,5039.422370833054
volkswagen,2024,1600,24208,4,diesel,manual,hatch,sp,98673.71,110116.56866666656,109564.445,11442.85866666655,10890.735312499994,11442.85866666655,10890.735312499994,True,552.123354166557
chevrolet,2010,1600,176762,4,flex,manual,sedan,pe,26157.33,24330.77333333336,22319.725,-1826.5566666666418,-3837.6053906250017,1826.5566666666418,3837.6053906250017,False,-2011.04872395836
toyota,2010,1600,213341,4,flex,manual,suv,mg,12000.0,21065.045633333357,16913.598,9065.045633333357,4913.59765625,9065.045633333357,4913.59765625,True,4151.447977083357
chevrolet,2012,1000,155295,4,flex,manual,sedan,ba,28840.41,29696.95243333326,28012.225,856.5424333332594,-828.1853906249999,856.5424333332594,828.1853906249999,True,28.35704270825954
honda,2014,1600,149004,4,gasolina,automatico,suv,mg,45345.39,55920.10686666666,52254.453,10574.716866666662,6909.063125000001,10574.716866666662,6909.063125000001,True,3665.6537416666615
volkswagen,2014,1400,145152,4,gasolina,automatico,suv,pr,48872.22,51115.0709,50494.723,2242.8508999999976,1622.5026562499988,2242.8508999999976,1622.5026562499988,True,620.3482437499988
chevrolet,2013,1000,179482,4,eletrico,automatico,hatch,rs,35347.72,36202.48616666662,35215.742,854.7661666666172,-131.97781250000116,854.7661666666172,131.97781250000116,True,722.788354166616
bmw,2020,1400,89471,4,diesel,automatico,hatch,pe,120302.41,115395.31550000014,121943.66,-4907.094499999861,1641.2462499999965,4907.094499999861,1641.2462499999965,True,3265.8482499998645
ford,2018,1400,86439,4,gasolina,automatico,sedan,mg,71699.08,79010.12193333321,77030.266,7311.04193333321,5331.185624999998,7311.04193333321,5331.185624999998,True,1979.856308333212
volkswagen,2020,1400,80272,4,flex,automatico,hatch,mg,88679.8,83246.32579999998,88383.06,-5433.474200000026,-296.7375000000029,5433.474200000026,296.7375000000029,True,5136.736700000023
chevrolet,2025,1600,4035,4,flex,automatico,sedan,mg,121545.28,123399.89729999976,124012.305,1854.6172999997652,2467.024687500001,1854.6172999997652,2467.024687500001,False,-612.4073875002359
volkswagen,2011,1400,166993,4,flex,automatico,sedan,ba,36111.46,34344.85669999997,35255.465,-1766.6033000000316,-855.9951562499991,1766.6033000000316,855.9951562499991,True,910.6081437500325
honda,2023,2000,13716,2,eletrico,manual,suv,ba,113347.6,110857.39786666661,108373.25,-2490.202133333398,-4974.350000000006,2490.202133333398,4974.350000000006,False,-2484.147866666608
hyundai,2024,1000,0,4,gasolina,automatico,sedan,rj,113618.77,113467.38026666683,114556.39,-151.38973333316972,937.6206249999959,151.38973333316972,937.6206249999959,False,-786.2308916668262
bmw,2018,2000,104194,4,flex,automatico,suv,mg,122119.11,114115.29113333324,117402.43,-8003.818866666756,-4716.680312500001,8003.818866666756,4716.680312500001,True,3287.138554166755
bmw,2011,1600,163615,2,flex,automatico,suv,pe,68016.28,67574.71673333328,70930.84,-441.5632666667225,2914.563750000001,441.5632666667225,2914.563750000001,False,-2473.0004833332787
ford,2024,1000,11846,4,flex,automatico,sedan,rs,103598.18,111670.31269999988,110358.99,8072.1326999998855,6760.812187500007,8072.1326999998855,6760.812187500007,True,1311.3205124998785
chevrolet,2013,1600,161530,4,flex,manual,sedan,rj,33334.24,39585.48319999992,39521.28,6251.243199999924,6187.041250000002,6251.243199999924,6187.041250000002,True,64.20194999992236
toyota,2025,1600,11770,4,flex,automatico,hatch,mg,118657.09,121378.32066666655,123149.27,2721.2306666665536,4492.1834375000035,2721.2306666665536,4492.1834375000035,False,-1770.95277083345
